"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","enzyme","go"
"ENSG00000142871",2124.68011516024,7.86417936330433,0.537743535923038,14.6244052005301,1.96278703832426e-48,1.79605918379105e-45,"CYR61",NA,"GO:0001558"
"ENSG00000162627",232.571124399367,8.0819402289961,0.560394441742049,14.4218779256134,3.76944873801649e-47,3.26771527178261e-44,"SNX7",NA,"GO:0005515"
"ENSG00000009790",54.6167566641997,-9.63794780699584,0.67836251733968,-14.2076656074583,8.21175111142915e-46,6.76278762781748e-43,"TRAF3IP3",NA,"GO:0005515"
"ENSG00000101363",606.060547265704,2.15100950590244,0.152293059804948,14.1241466200586,2.69646505158039e-45,2.11492742212289e-42,"MANBAL",NA,"GO:0005515"
"ENSG00000115956",190.041283744327,-10.2367655121538,0.727141064171586,-14.0781012331029,5.1782476530173e-45,3.87685986785672e-42,"PLEK",NA,"GO:0002244"
"ENSG00000166923",87.5880463745781,24.3570307996451,1.73431471048759,14.0441816311396,8.36288544763963e-45,5.98891679165532e-42,"GREM1",NA,"GO:0000902"
"ENSG00000150760",172.444336320217,8.97746426421366,0.644321816755665,13.9331992658849,3.98115129086636e-44,2.73223095466083e-41,"DOCK1",NA,"GO:0005085"
"ENSG00000000003",291.999335978434,6.6263583768732,0.4757869943187,13.9271532345304,4.33283902312308e-44,2.85464766199441e-41,"TSPAN6",NA,"GO:0004871"
"ENSG00000110777",247.725536076214,-7.64830857008746,0.552579898070253,-13.8410908482145,1.44004520588189e-43,9.12268637926175e-41,"POU2AF1",NA,"GO:0000979"
"ENSG00000142627",423.114679021567,8.44159483493811,0.61349209427926,13.7599080960537,4.44091054359956e-43,2.70911990976401e-40,"EPHA2","2.7.10.1","GO:0001501"
"ENSG00000109686",200.751498195247,8.17896175388164,0.59582336664824,13.7271584360509,6.98184913884274e-43,4.10707275592424e-40,"SH3D19",NA,"GO:0005515"
"ENSG00000101825",36.0023718639454,23.1144285166988,1.68729299612147,13.6991195778275,1.02762770928823e-42,5.83657103437461e-40,"MXRA5",NA,"GO:0003674"
"ENSG00000143851",67.3046481584014,-9.52141593507421,0.711807609936185,-13.3763896341707,8.30862076954758e-41,4.56170975650727e-38,"PTPN7","3.1.3.48","GO:0004725"
"ENSG00000140416",3306.23988038877,5.34987643313542,0.402482401949066,13.2921996271838,2.56913072161517e-40,1.36503716502334e-37,"TPM1",NA,"GO:0001701"
"ENSG00000166173",341.613183316428,7.15927857185841,0.539909126355173,13.2601547600971,3.94081677488797e-40,2.02841228434937e-37,"LARP6",NA,"GO:0005515"
"ENSG00000102024",1406.24558054428,5.68290189817609,0.428783084898625,13.2535589633152,4.30303062095169e-40,2.1477338593241e-37,"PLS3",NA,"GO:0005509"
