"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","enzyme","go"
"ENSG00000131737",26.1130646725884,23.2463328759816,1.58528352143107,14.6638330378888,1.09890212811643e-48,1.29599807409503e-45,"KRT34",NA,"GO:0005198"
"ENSG00000101363",594.113237054048,2.08160264066066,0.143136577296511,14.5427722248001,6.49097875118669e-48,7.14483667738956e-45,"MANBAL",NA,"GO:0005515"
"ENSG00000107984",1251.34728610467,10.6063499391357,0.736028917364942,14.4102353710606,4.46187246068018e-47,4.60437351239315e-44,"DKK1",NA,"GO:0000122"
"ENSG00000009790",68.0641346592766,-9.6834950081691,0.677548054996065,-14.2919678342599,2.45570958520369e-46,2.37375020069055e-43,"TRAF3IP3",NA,"GO:0005515"
"ENSG00000115414",15869.9547854248,9.4253854424079,0.659656721779476,14.2883186530446,2.58782045984071e-46,2.37375020069055e-43,"FN1",NA,"GO:0001525"
"ENSG00000143851",86.459915061434,-9.78337749441486,0.685881989871032,-14.2639370021284,3.67143672862322e-46,3.19047851717358e-43,"PTPN7","3.1.3.48","GO:0004725"
"ENSG00000138119",1061.2286763515,7.69929308729674,0.544099406653283,14.1505265272288,1.85364189447746e-45,1.53027406598587e-42,"MYOF",NA,"GO:0001778"
"ENSG00000147168",557.060528916362,-7.60316068513764,0.541992652694688,-14.0281619083508,1.04833586783483e-44,8.24241595896232e-42,"IL2RG",NA,"GO:0000165"
"ENSG00000146477",17.9170874595887,21.8346735290857,1.56289732069074,13.9706385314139,2.35505689919364e-44,1.76747020284483e-41,"SLC22A3",NA,"GO:0005329"
"ENSG00000115956",252.43181040614,-10.5598703798679,0.763373017092359,-13.8331721758909,1.60771298990234e-43,1.15412822505555e-40,"PLEK",NA,"GO:0002244"
"ENSG00000141736",292.542798709919,3.89581875833096,0.281801519412923,13.8246903936044,1.80889060807026e-43,1.24444136791034e-40,"ERBB2","2.7.10.1","GO:0000165"
"ENSG00000116285",597.177088185774,5.24987738682432,0.385177025173313,13.6297781116672,2.66389013822937e-42,1.75933960289221e-39,"ERRFI1",NA,"GO:0005096"
"ENSG00000117091",213.329612906877,-10.053685995051,0.738708150403349,-13.60982140181,3.50098300671534e-42,2.22325886245681e-39,"CD48",NA,"GO:0002819"
"ENSG00000000003",287.56200440506,5.56790149754517,0.411732149561489,13.5231157039235,1.14233267714681e-41,6.98557586384111e-39,"TSPAN6",NA,"GO:0004871"
"ENSG00000006327",1411.88431308043,4.94672502764651,0.366669410027647,13.4909673192359,1.7676600444475e-41,1.04235124978117e-38,"TNFRSF12A",NA,"GO:0001525"
"ENSG00000186517",143.664046172404,-7.52123012512986,0.559494375388925,-13.4429056948099,3.38864473499547e-41,1.9293073523969e-38,"ARHGAP30",NA,"GO:0005096"
"ENSG00000221818",28.0322611711267,22.732722997335,1.70553331915752,13.3288061522974,1.57396253481506e-40,8.66256513744384e-38,"EBF2",NA,"GO:0000978"
"ENSG00000005001",22.3302134534042,23.0654871684143,1.73770366058181,13.2735446737171,3.29612624203217e-40,1.75555936716752e-37,"PRSS22",NA,"GO:0004252"
"ENSG00000015285",133.044647247173,-6.69747084631905,0.504853141760328,-13.266176423041,3.63668553420961e-40,1.87641608922922e-37,"WAS",NA,"GO:0002625"
"ENSG00000013588",596.150124772342,8.21399910931409,0.620422754418426,13.2393582453528,5.19911774456242e-40,2.6012919115294e-37,"GPRC5A",NA,"GO:0004930"
"ENSG00000182162",118.764806169725,-6.43245868151635,0.486968804492057,-13.2091801819335,7.76656842071032e-40,3.77158268218671e-37,"P2RY8",NA,"GO:0004930"
"ENSG00000197471",148.032854158041,-8.23734589205221,0.62435993115877,-13.1932647836069,9.59385972604552e-40,4.5258347981925e-37,"SPN",NA,"GO:0001562"
"ENSG00000010671",274.592145077237,-9.79108202025431,0.746087104600305,-13.1232425274253,2.42339775755764e-39,1.11146445486206e-36,"BTK","2.7.10.2","GO:0001805"
"ENSG00000185811",172.783362312728,-8.54358396213933,0.651546392435043,-13.1127791686623,2.78213233960778e-39,1.24150775835849e-36,"IKZF1",NA,"GO:0003677"
"ENSG00000111799",694.437858238297,9.30796321333846,0.713390698156749,13.0474973074197,6.56693789021415e-39,2.85333451329805e-36,"COL12A1",NA,"GO:0001501"
"ENSG00000104814",49.3211623023362,-7.21110081194843,0.554405020063782,-13.0069183196047,1.11758793626361e-38,4.73140882452526e-36,"MAP4K1","2.7.11.1","GO:0000185"
"ENSG00000145632",452.392603311447,6.0923183137487,0.471804787522083,12.9127946024998,3.81210421906755e-38,1.57354131902561e-35,"PLK2",NA,"GO:0000082"
"ENSG00000066336",172.246606838161,-9.51598115358102,0.73790956712985,-12.8958636362367,4.74912703519341e-38,1.9125082067824e-35,"SPI1",NA,"GO:0000122"
"ENSG00000106366",6478.67110483236,8.6250092444032,0.671901642987275,12.8367140256666,1.02117612530532e-37,4.01443785831335e-35,"SERPINE1",NA,"GO:0001300"
"ENSG00000118308",249.917544370166,-8.92641819136333,0.697612678107949,-12.7956650896503,1.73361878884055e-37,6.65669298198752e-35,"LRMP",NA,"GO:0000922"
"ENSG00000106511",22.1125942245226,23.0575074342597,1.81292859081737,12.7183759752303,4.67475209944159e-37,1.75420072531546e-34,"MEOX2",NA,"GO:0000978"
"ENSG00000137962",348.75845068806,6.5841670227618,0.518103097314952,12.7082178371138,5.32338288946005e-37,1.95320833084166e-34,"ARHGAP29",NA,"GO:0005096"
"ENSG00000204262",587.728377106451,7.95471562610348,0.627441010642177,12.6780294739771,7.82750088637956e-37,2.80956232902202e-34,"COL5A2",NA,"GO:0001501"
"ENSG00000126264",143.980911412889,-6.6624862848699,0.528413850872597,-12.6084626166929,1.89656548576994e-36,6.66259419905266e-34,"HCST",NA,"GO:0005102"
"ENSG00000091136",1292.39870502955,5.82541583310459,0.466673860934523,12.4828414889985,9.26212398265492e-36,3.18597768911699e-33,"LAMB1",NA,"GO:0005198"
"ENSG00000142089",3581.57421518451,5.95390072672507,0.479014320282677,12.4294837849765,1.8079808455926e-35,6.09215749828152e-33,"IFITM3",NA,"GO:0005515"
"ENSG00000167208",37.0214140208249,-8.98752558200283,0.725661569594597,-12.3852853156105,3.13966310609928e-35,1.03677955089611e-32,"SNX20",NA,"GO:0005515"
"ENSG00000074527",353.719775757306,7.89365677465593,0.639364922445505,12.3460898425011,5.1137040894346e-35,1.65553663177754e-32,"NTN4",NA,"GO:0005515"
"ENSG00000070778",61.6118564629813,4.27874554491055,0.347135785944601,12.3258555244241,6.57420327291752e-35,2.08743596613733e-32,"PTPN21",NA,"GO:0004725"
"ENSG00000242498",67.1879749291484,4.48064062131842,0.364307775729246,12.2990529432137,9.16423128535575e-35,2.85491741042469e-32,"ARPIN",NA,"GO:0005515"
"ENSG00000145088",96.7626108178278,-3.59778889169457,0.293440198729656,-12.2607226524174,1.47181433378512e-34,4.50020860465298e-32,"EAF2",NA,"GO:0000977"
"ENSG00000089159",764.911902000839,3.20884920657697,0.263700895928459,12.1685184090066,4.57307789803698e-34,1.3728379849907e-31,"PXN",NA,"GO:0001725"
"ENSG00000006118",294.719125114132,4.952174299267,0.410613110813799,12.0604388141728,1.70870072151787e-33,5.03792100231814e-31,"TMEM132A",NA,"GO:0000139"
"ENSG00000142627",386.40038962785,6.41951940237837,0.535103679185789,11.9967767968747,3.69403929197775e-33,1.07004004824289e-30,"EPHA2","2.7.10.1","GO:0001501"
"ENSG00000122122",106.02773034064,-9.89102538594502,0.824808934778141,-11.9918989342732,3.91818471761594e-33,1.11539910125098e-30,"SASH3",NA,"GO:0002639"
"ENSG00000110777",209.028666959935,-6.80906180739867,0.569532351658998,-11.9555312135728,6.07438970642253e-33,1.69990251597869e-30,"POU2AF1",NA,"GO:0000979"
"ENSG00000043462",166.172439433591,-9.30787256040667,0.781326014242023,-11.9129177715098,1.01366963095965e-32,2.78944987946248e-30,"LCP2",NA,"GO:0005515"
"ENSG00000135426",83.9569314709967,-7.04286884774338,0.592150798419307,-11.8937082691498,1.27612168386681e-32,3.45410575775818e-30,"TESPA1",NA,"GO:0005102"
"ENSG00000166033",1515.26458314051,8.48300397688914,0.722813438017408,11.736090574294,8.3246325294192e-32,2.21690334989097e-29,"HTRA1",NA,"GO:0001558"
"ENSG00000137936",269.187067085458,4.56109252920792,0.389723421988859,11.7034088070239,1.22434418268737e-31,3.20875346037319e-29,"BCAR3",NA,"GO:0002089"
"ENSG00000169908",962.799212072796,7.58724742056342,0.650203829461188,11.6690291209925,1.83505452375129e-31,4.734153944009e-29,"TM4SF1",NA,"GO:0003674"
"ENSG00000050165",566.037712254034,8.63707344485656,0.741840211501831,11.6427679585757,2.49775584699519e-31,6.34468412149808e-29,"DKK3",NA,"GO:0005615"
"ENSG00000180801",85.4438986902034,8.96952055049833,0.772554738948857,11.6102071455834,3.65728528213915e-31,9.14930868081811e-29,"ARSJ",NA,"GO:0004065"
"ENSG00000172380",777.417746543096,5.25094818556602,0.453438323467878,11.5802919907761,5.18690799866895e-31,1.27822444725407e-28,"GNG12",NA,"GO:0004871"
"ENSG00000197712",405.928112345667,5.40700985232925,0.467404151053803,11.5681682332916,5.97445757383023e-31,1.4506510147281e-28,"FAM114A1",NA,"GO:0005515"
"ENSG00000125398",95.2344777857892,8.78601809480809,0.761832220277242,11.5327467924771,9.02185070984458e-31,2.15883734884412e-28,"SOX9",NA,"GO:0001046"
"ENSG00000174307",297.15912974299,5.55213972146998,0.481867525662317,11.5221288544786,1.02057863025553e-30,2.40725339487844e-28,"PHLDA3",NA,"GO:0005546"
"ENSG00000105137",143.97733831762,5.16318494455514,0.449445121023277,11.4879096535742,1.5173923028562e-30,3.5286851144308e-28,"SYDE1",NA,"GO:0005096"
"ENSG00000102879",1028.96609713339,-5.81638719596501,0.506742984198941,-11.477982680233,1.70205446045412e-30,3.90314183285528e-28,"CORO1A",NA,"GO:0001772"
"ENSG00000096996",24.0306002084949,-4.74540539109306,0.414017049657095,-11.4618598316746,2.0506337562688e-30,4.63808410270604e-28,"IL12RB1",NA,"GO:0001916"
"ENSG00000142871",2165.09995039283,6.08815500395425,0.531531702585924,11.4539828468088,2.24584118419559e-30,5.01095726922342e-28,"CYR61",NA,"GO:0001558"
"ENSG00000110876",220.287877922088,-5.97544267201626,0.525712575485086,-11.366368146135,6.14933696935572e-30,1.35375603601376e-27,"SELPLG",NA,"GO:0001618"
"ENSG00000166250",258.292595233,8.45030685068115,0.744884493902785,11.3444526229915,7.90191514065392e-30,1.71669106430706e-27,"CLMP",NA,"GO:0005881"
